commute,date,Google estimate,mph,mpg,time,avg speed,ev perc,tires,traffic_pattern,year
morning,17Apr,,65,61.2,,,,old,0,2023
morning,17Apr,,65,63.6,,,,old,0,2023
morning,24Apr,,70,57.6,,,,old,0,2023
night,17Apr,,65,63.6,,,,old,0,2023
night,17Apr,,65,62,,,,old,0,2023
night,24Apr,,70,58.1,,,,old,0,2023
morning ,24Apr,,70,58,,,,old,0,2023
night,24Apr,,70,57.1,,,,old,0,2023
morning,24Apr,,75,54.1,,,,old,0,2023
night,24Apr,,75,56,40.5,,,old,0,2023
morning,24Apr,,75,54.8,42.5,,,old,0,2023
night,24Apr,,65,62.7,42.6,,,old,0,2023
morning,24Apr,,80,51,41,,,old,0,2023
morning,01May,,80,52.2,41.5,,,old,0,2023
night,01May,,80,50.8,38.5,,,old,0,2023
morning,01May,,70,60.1,44,,,old,0,2023
night,01May,,65,61.5,41.5,,,old,0,2023
morning,01May,,65,66.3,45,,,old,0,2023
night,01May,,70,61,47.5,,,old,0,2023
morning,08May,,75,57,41.5,,,old,0,2023
night,08May,,70,57,39.5,,,old,0,2023
morning,08May,,75,54.5,53,,,old,0,2023
night,08May,,75,56.9,41.5,,,old,0,2023
morning ,08May,,70,62,52,,,old,0,2023
morning,08May,,70,62,43.5,,,old,0,2023
morning,15May,,65,64.4,46.5,,,old,0,2023
night,15May,,70,60.1,44.5,,,old,0,2023
morning,15May,,75,60.1,43.5,,,old,0,2023
morning,15May,,65,62.2,44,,,old,0,2023
night,15May,,75,,43,,,old,0,2023
morning,15May,,70,58.4,,,,old,0,2023
night,15May,,65,62.9,55,,,old,0,2023
night,15May,,70,59.9,54,,,old,0,2023
morning,22May,,68,59.1,44,,,old,0,2023
night,22May,,73,58.7,38,,,old,0,2023
morning,23May,,78,53.1,39,,,old,0,2023
morning,24May,,72,61.5,41,,,old,0,2023
night,24May,,69,63,44.5,,,old,0,2023
morning,25May,,78,54.9,41,,,old,0,2023
morning ,26May,,78,55.1,38,,,old,0,2023
night,26May,,72,56.3,49,,,old,0,2023
,,,,,,,,,,
,,,,,,,,,,
morning ,30May,,65,53.4,42,,,new,0,2023
morning,31May,,80,48,45,,,new,0,2023
morning,12Jun,,70,52.7,42,,,new,0,2023
night,12Jun,,70,52.6,,,,new,0,2023
morning,14Jun,,75,50,40.5,,,new,0,2023
night,14Jun,,77,52.1,42.5,,,new,0,2023
morning,15Jun,,65,57.8,43.5,,,new,0,2023
night,15Jun,,77,47.9,57,,,new,0,2023
morning,16Jun,,68,56.2,41,,,new,0,2023
night,16Jun,,73,52.2,43.5,,,new,0,2023
morning,20Jun,,77,48.3,40.5,,,new,0,2023
night,20Jun,,72,54,44.5,,,new,0,2023
